ZIP,ROA,DEPDOM,DATEUPDT,ROE,STNAME,ASSET,OFFICES,NETINC,DEP,NAME,CITY,CERT,STALP,ID,COLLECTION_DATE
43240,1.4219196171927215,2132981000.0,03/06/2025,16.26,Ohio,3788551000.0,5257.0,25810000.0,2669161000.0,"JPMorgan Chase Bank, National Association",Columbus,628,OH,628,2025-11-07 16:16:27.388590
28202,1.1092882753057818,1975044000.0,08/31/2022,11.75,North Carolina,2665555000.0,3860.0,14550000.0,2109261000.0,"Bank of America, National Association",Charlotte,3510,NC,3510,2025-11-07 16:16:27.388590
57108,0.8405282867116479,790085000.0,07/15/2024,8.53,South Dakota,1833933000.0,957.0,7413000.0,1413382000.0,"Citibank, National Association",Sioux Falls,7213,SD,7213,2025-11-07 16:16:27.388590
57104,1.4328989571873498,1392827000.0,10/10/2025,14.62,South Dakota,1746394000.0,4204.0,12330000.0,1398809000.0,"Wells Fargo Bank, National Association",Sioux Falls,3511,SD,3511,2025-11-07 16:16:27.388590
45202,1.1123544098779337,523489192.0,09/30/2025,11.46,Ohio,671438131.0,2114.0,3695863.0,529916541.0,U.S. Bank National Association,Cincinnati,6548,OH,6548,2025-11-07 16:16:27.388590
22102,-0.9617622533192696,497324904.0,06/04/2025,-7.37,Virginia,648909392.0,268.0,-2607458.0,497464178.0,"Capital One, National Association",Mclean,4297,VA,4297,2025-11-07 16:16:27.388590
10282,1.4708856405461594,390220000.0,08/31/2022,13.51,New York,625410000.0,5.0,4376000.0,407844000.0,Goldman Sachs Bank USA,New York,33124,NY,33124,2025-11-07 16:16:27.388590
19801,1.1985419215043032,432497011.0,08/31/2022,12.02,Delaware,554573142.0,2329.0,3316039.0,433046862.0,"PNC Bank, National Association",Wilmington,6384,DE,6384,2025-11-07 16:16:27.388590
28202,0.9997446736077619,417545000.0,08/31/2022,8.61,North Carolina,535585000.0,1931.0,2643000.0,417545000.0,Truist Bank,Charlotte,9846,NC,9846,2025-11-07 16:16:27.388590
10007,1.2561095267351974,227667000.0,08/31/2022,15.47,New York,398293000.0,26.0,2283000.0,348126000.0,The Bank of New York Mellon,New York,639,NY,639,2025-11-07 16:16:27.388590
02114,0.7878845758279216,207849000.0,11/18/2024,10.13,Massachusetts,371784000.0,3.0,1430000.0,289084000.0,State Street Bank and Trust Company,Boston,14,MA,14,2025-11-07 16:16:27.388590
19808,0.5149694119775401,293309122.0,08/31/2022,3.94,Delaware,356447140.0,1104.0,940448.0,293309122.0,"TD Bank, National Association",Wilmington,18409,DE,18409,2025-11-07 16:16:27.388590
60606,0.8497908452258623,199266993.0,06/09/2025,6.19,Illinois,253742866.0,1008.0,1096861.0,199266993.0,BMO Bank National Association,Chicago,16571,IL,16571,2025-11-07 16:16:27.388590
76262,0.7964334078287872,209546000.0,08/31/2022,10.03,Texas,247664000.0,1.0,1040000.0,209546000.0,"Charles Schwab Bank, SSB",Westlake,57450,TX,57450,2025-11-07 16:16:27.388590
84111,1.9453695265188617,192903000.0,08/31/2022,19.52,Utah,239249000.0,1.0,2284000.0,192903000.0,"Morgan Stanley Bank, National Association",Salt Lake City,32992,UT,32992,2025-11-07 16:16:27.388590
10577,1.0445138761257122,212449000.0,08/31/2022,13.63,New York,235034000.0,1.0,1184000.0,212449000.0,"Morgan Stanley Private Bank, National Association",Purchase,34221,NY,34221,2025-11-07 16:16:27.388590
27601,0.9639268354590096,160302000.0,03/28/2023,9.86,North Carolina,229412000.0,519.0,1095000.0,160302000.0,First-Citizens Bank & Trust Company,Raleigh,11063,NC,11063,2025-11-07 16:16:27.388590
02903,0.8168287278926832,178748164.0,11/18/2024,7.07,Rhode Island,217970015.0,991.0,891927.0,178748164.0,"Citizens Bank, National Association",Providence,57957,RI,57957,2025-11-07 16:16:27.388590
84070,3.926726948973177,168449838.0,08/31/2022,42.73,Utah,211720953.0,1.0,3980595.0,168449838.0,American Express National  Bank,Sandy,27471,UT,27471,2025-11-07 16:16:27.388590
14203,1.2921145487999786,168383903.0,10/03/2025,9.67,New York,211042013.0,985.0,1353274.0,168409138.0,Manufacturers and Traders Trust Company,Buffalo,588,NY,588,2025-11-07 16:16:27.388590
45202,1.2361290689248519,167802000.0,05/05/2025,11.4,Ohio,209311000.0,1106.0,1305000.0,167916000.0,"Fifth Third Bank, National Association",Cincinnati,6672,OH,6672,2025-11-07 16:16:27.388590
43215,1.160172666571588,167403258.0,10/28/2025,11.74,Ohio,206645430.0,1203.0,1195426.0,167403258.0,The Huntington National Bank,Columbus,6560,OH,6560,2025-11-07 16:16:27.388590
44114,1.0753407287862398,151999252.0,07/24/2023,11.21,Ohio,182591692.0,954.0,990800.0,151999252.0,KeyBank National Association,Cleveland,17534,OH,17534,2025-11-07 16:16:27.388590
84070,0.6234957104676403,151303000.0,08/31/2022,7.87,Utah,178052000.0,1.0,563000.0,151303000.0,Ally Bank,Sandy,57803,UT,57803,2025-11-07 16:16:27.388590
60603,0.9708943827370222,51521446.0,08/31/2022,14.49,Illinois,171309876.0,67.0,794120.0,139326701.0,The Northern Trust Company,Chicago,913,IL,913,2025-11-07 16:16:27.388590
