lender_cert,lender_name,borrower_cert,borrower_name,lending_amount,relationship_type,start_date,is_synthetic
628,"JPMorgan Chase Bank, National Association",57348,SouthEast Bank,87470.53630776885,interbank_loan,2024-05-21 17:04:10.423804,True
628,"JPMorgan Chase Bank, National Association",3387,FirstBank Southwest,134131.48845688015,interbank_loan,2024-04-15 17:04:10.424457,True
628,"JPMorgan Chase Bank, National Association",34047,First Community Bank,104285.3073127488,interbank_loan,2024-11-20 17:04:10.424560,True
628,"JPMorgan Chase Bank, National Association",58564,Flushing Bank,440397.32887816,interbank_loan,2025-09-22 17:04:10.424652,True
628,"JPMorgan Chase Bank, National Association",660,The Adirondack Trust Company,35598.48048998429,interbank_loan,2023-04-07 17:04:10.424737,True
628,"JPMorgan Chase Bank, National Association",20884,Bank of Guam,257314.48598419796,interbank_loan,2024-08-26 17:04:10.424819,True
628,"JPMorgan Chase Bank, National Association",20989,Independence Bank,94194.69035113473,interbank_loan,2023-04-09 17:04:10.424895,True
3510,"Bank of America, National Association",6861,SKYLINE NATIONAL BANK,12979.13104883555,interbank_loan,2023-10-27 17:04:10.425197,True
3510,"Bank of America, National Association",13012,First Community Bank,79012.8900310053,interbank_loan,2023-04-08 17:04:10.425278,True
3510,"Bank of America, National Association",31840,Financial Federal Bank,41959.3891920017,interbank_loan,2024-01-22 17:04:10.425359,True
3510,"Bank of America, National Association",34352,"City First Bank, National Association",68184.09800422027,interbank_loan,2024-12-06 17:04:10.425435,True
7213,"Citibank, National Association",15229,First Business Bank,361607.4769923467,interbank_loan,2022-11-30 17:04:10.425705,True
7213,"Citibank, National Association",57510,Avidbank,109945.8329828101,interbank_loan,2025-02-06 17:04:10.425784,True
7213,"Citibank, National Association",5574,Citizens National Bank of Texas,47041.3046657557,interbank_loan,2024-04-22 17:04:10.425856,True
7213,"Citibank, National Association",14209,Farmers State Bank,92182.28794129635,interbank_loan,2025-04-30 17:04:10.425928,True
7213,"Citibank, National Association",34252,Pacific Coast Bankers' Bank,36309.31019016815,interbank_loan,2025-06-23 17:04:10.426000,True
7213,"Citibank, National Association",34966,First Capital Bank,85036.27562068844,interbank_loan,2023-03-05 17:04:10.426070,True
3511,"Wells Fargo Bank, National Association",58018,St. Louis Bank,62400.839618138096,interbank_loan,2024-02-17 17:04:10.426322,True
3511,"Wells Fargo Bank, National Association",20161,Citizens Bank of Las Cruces,24722.187802560627,interbank_loan,2024-02-28 17:04:10.426398,True
3511,"Wells Fargo Bank, National Association",30441,First Federal Bank of Louisiana,34597.5257493861,interbank_loan,2024-09-17 17:04:10.426471,True
3511,"Wells Fargo Bank, National Association",5170,Bank Midwest,17163.461827780633,interbank_loan,2025-06-03 17:04:10.426543,True
3511,"Wells Fargo Bank, National Association",57754,Providence Bank & Trust,63258.55212799843,interbank_loan,2025-04-27 17:04:10.426618,True
3511,"Wells Fargo Bank, National Association",58115,Oakstar Bank,183053.74464571153,interbank_loan,2024-04-01 17:04:10.426692,True
6548,U.S. Bank National Association,58741,Fieldpoint Private Bank & Trust,47902.00777178577,interbank_loan,2023-07-10 17:04:10.426941,True
6548,U.S. Bank National Association,18258,Thomaston Savings Bank,21748.490139164944,interbank_loan,2024-09-11 17:04:10.427014,True
6548,U.S. Bank National Association,34068,Thomasville National Bank,188484.1381284137,interbank_loan,2023-10-19 17:04:10.427084,True
6548,U.S. Bank National Association,1673,1st Financial Bank USA,29408.568582160264,interbank_loan,2024-11-11 17:04:10.427155,True
6548,U.S. Bank National Association,12010,Provident Bank,1917999.6555569977,interbank_loan,2023-03-16 17:04:10.427225,True
4297,"Capital One, National Association",29683,Home Federal Bank of Tennessee,261924.20090052224,interbank_loan,2025-09-27 17:04:10.427463,True
4297,"Capital One, National Association",12013,Union County Savings Bank,68040.58744322632,interbank_loan,2024-07-25 17:04:10.427534,True
4297,"Capital One, National Association",57451,Sound Community Bank,95836.87244085521,interbank_loan,2024-04-13 17:04:10.427604,True
4297,"Capital One, National Association",20369,Heartland Bank and Trust Company,426649.80876020703,interbank_loan,2024-11-21 17:04:10.427674,True
33124,Goldman Sachs Bank USA,1487,First Farmers and Merchants Bank,140518.4715815826,interbank_loan,2025-10-07 17:04:10.427903,True
6384,"PNC Bank, National Association",2832,First Bank of Alabama,81859.52319047727,interbank_loan,2024-05-20 17:04:10.428144,True
6384,"PNC Bank, National Association",2700,First Southern National Bank,25182.63464702085,interbank_loan,2025-08-28 17:04:10.428216,True
6384,"PNC Bank, National Association",90227,The Lowell Five Cent Savings Bank,43459.90742585041,interbank_loan,2024-11-17 17:04:10.428288,True
6384,"PNC Bank, National Association",57873,Commonwealth Business Bank,82529.39015209876,interbank_loan,2023-05-09 17:04:10.428360,True
9846,Truist Bank,2240,First American Bank,52856.68670206568,interbank_loan,2023-04-26 17:04:10.428584,True
9846,Truist Bank,35214,First Reliance Bank,96933.91233005637,interbank_loan,2025-06-15 17:04:10.428653,True
9846,Truist Bank,23998,State Bank of India (California),101911.58772574406,interbank_loan,2023-06-01 17:04:10.428724,True
9846,Truist Bank,32941,WestStar Bank,175275.4319335397,interbank_loan,2025-02-11 17:04:10.428794,True
9846,Truist Bank,15752,First State Bank,133065.69550910266,interbank_loan,2025-05-15 17:04:10.428863,True
9846,Truist Bank,13622,Dayspring Bank,25342.011009790996,interbank_loan,2023-11-16 17:04:10.428931,True
9846,Truist Bank,17612,Central Bank,89865.40985428734,interbank_loan,2025-01-20 17:04:10.428999,True
9846,Truist Bank,18609,American Bank of Commerce,121818.9347463903,interbank_loan,2023-11-09 17:04:10.429068,True
639,The Bank of New York Mellon,19080,Inwood National Bank,98342.0105020788,interbank_loan,2023-07-12 17:04:10.429290,True
639,The Bank of New York Mellon,7404,First Keystone Community Bank,78490.41316515155,interbank_loan,2024-02-24 17:04:10.429352,True
639,The Bank of New York Mellon,20234,City National Bank of Florida,682028.3586701867,interbank_loan,2022-12-05 17:04:10.429416,True
639,The Bank of New York Mellon,30401,Penn Community Bank,129561.47224520355,interbank_loan,2025-06-14 17:04:10.429475,True
14,State Street Bank and Trust Company,33503,Unity Bank,197064.58058846486,interbank_loan,2024-09-24 17:04:10.429673,True
14,State Street Bank and Trust Company,26517,Cape & Coast Bank,113714.92536967638,interbank_loan,2024-02-14 17:04:10.429737,True
14,State Street Bank and Trust Company,29488,First Federal Savings and Loan Association of Lakewood,111510.53989221714,interbank_loan,2024-03-09 17:04:10.429797,True
14,State Street Bank and Trust Company,1552,CBI Bank & Trust,49593.34509865038,interbank_loan,2024-12-11 17:04:10.429856,True
14,State Street Bank and Trust Company,57244,Cedar Rapids Bank and Trust Company,249327.26810164316,interbank_loan,2023-12-31 17:04:10.429914,True
14,State Street Bank and Trust Company,384,The Ohio Valley Bank Company,141548.2044145955,interbank_loan,2024-12-21 17:04:10.429973,True
14,State Street Bank and Trust Company,19788,Peoples Bank,111634.89766129079,interbank_loan,2024-09-11 17:04:10.430030,True
18409,"TD Bank, National Association",17491,PlainsCapital Bank,230512.77758485815,interbank_loan,2023-09-05 17:04:10.430223,True
18409,"TD Bank, National Association",59286,Thrivent Bank,79572.83252264721,interbank_loan,2025-07-31 17:04:10.430283,True
18409,"TD Bank, National Association",1373,BOM Bank,89158.27014971917,interbank_loan,2024-11-21 17:04:10.430344,True
16571,BMO Bank National Association,22373,American National Bank & Trust,97017.98121162032,interbank_loan,2023-06-09 17:04:10.430538,True
57450,"Charles Schwab Bank, SSB",21292,PeoplesSouth Bank,70370.08384404691,interbank_loan,2025-04-20 17:04:10.430728,True
57450,"Charles Schwab Bank, SSB",58,United Bank,92060.86435551186,interbank_loan,2024-09-05 17:04:10.430788,True
32992,"Morgan Stanley Bank, National Association",32242,"Liberty Savings Bank, F.S.B.",63685.0512573856,interbank_loan,2023-11-17 17:04:10.430978,True
32992,"Morgan Stanley Bank, National Association",28362,Century Bank,76427.04683519724,interbank_loan,2024-04-01 17:04:10.431038,True
34221,"Morgan Stanley Private Bank, National Association",19608,The Park Bank,26230.942715759884,interbank_loan,2022-11-22 17:04:10.431224,True
34221,"Morgan Stanley Private Bank, National Association",57813,Sterling Bank,136704.51926241093,interbank_loan,2023-12-13 17:04:10.431287,True
34221,"Morgan Stanley Private Bank, National Association",13055,Citizens Bank,17692.087228515666,interbank_loan,2022-11-30 17:04:10.431345,True
34221,"Morgan Stanley Private Bank, National Association",3864,The First National Bank of Fort Smith,219454.1872181644,interbank_loan,2023-12-31 17:04:10.431403,True
34221,"Morgan Stanley Private Bank, National Association",90227,The Lowell Five Cent Savings Bank,33787.33535611377,interbank_loan,2025-06-18 17:04:10.431462,True
11063,First-Citizens Bank & Trust Company,7506,ACNB Bank,318493.68245036376,interbank_loan,2024-07-24 17:04:10.431647,True
11063,First-Citizens Bank & Trust Company,26906,Texas Regional Bank,91100.80654789566,interbank_loan,2023-09-10 17:04:10.431706,True
11063,First-Citizens Bank & Trust Company,18489,Adams Bank & Trust,109528.66057451334,interbank_loan,2023-10-24 17:04:10.431764,True
11063,First-Citizens Bank & Trust Company,14863,LINKBANK,128682.48079829008,interbank_loan,2025-07-22 17:04:10.431822,True
11063,First-Citizens Bank & Trust Company,23537,Bankers' Bank,25281.90598591439,interbank_loan,2024-02-05 17:04:10.431881,True
11063,First-Citizens Bank & Trust Company,2138,Queensborough National Bank & Trust Company,41792.978219276214,interbank_loan,2025-01-19 17:04:10.431939,True
57957,"Citizens Bank, National Association",34252,Pacific Coast Bankers' Bank,108573.33475870338,interbank_loan,2025-06-12 17:04:10.432124,True
57957,"Citizens Bank, National Association",6861,SKYLINE NATIONAL BANK,85966.8015203337,interbank_loan,2024-03-09 17:04:10.432182,True
57957,"Citizens Bank, National Association",14578,Farmers State Bank,13027.30442389186,interbank_loan,2024-06-10 17:04:10.432243,True
57957,"Citizens Bank, National Association",17764,Centreville Bank,154651.51748466186,interbank_loan,2023-01-03 17:04:10.432300,True
27471,American Express National  Bank,16032,Rhinebeck Bank,50456.68514820409,interbank_loan,2025-08-15 17:04:10.432484,True
27471,American Express National  Bank,15091,Lake Ridge Bank,121598.6197510999,interbank_loan,2024-09-27 17:04:10.432543,True
27471,American Express National  Bank,4972,First Citizens National Bank,56267.934832079234,interbank_loan,2023-11-13 17:04:10.432603,True
27471,American Express National  Bank,6600,First Financial Bank,852839.6991135926,interbank_loan,2022-11-12 17:04:10.432661,True
588,Manufacturers and Traders Trust Company,34755,Virginia National Bank,100096.77405482001,interbank_loan,2024-03-16 17:04:10.432849,True
588,Manufacturers and Traders Trust Company,6271,Community National Bank,48696.138632151306,interbank_loan,2024-01-21 17:04:10.432910,True
