filer_cik,filing_date,issuer_name,cusip,value,shares,relationship_type,is_synthetic
0001067983,2024-02-25,Company_0000067088,45034697,608445879.3956294,3806484,institutional_holding,True
0000315066,2024-08-27,Company_0001551152,88196431,53153232.17092649,6154427,institutional_holding,True
0001364742,2024-12-21,Company_0001114448,19058055,507443207.3034709,3308519,institutional_holding,True
0001067983,2024-01-03,Company_0000019617,46039467,396330687.940758,8580876,institutional_holding,True
0000315066,2024-03-05,Company_0001594805,12523372,939230796.5663025,8207645,institutional_holding,True
0000315066,2024-01-25,Company_0001730168,49525082,982260396.0560868,950954,institutional_holding,True
0001067983,2024-03-13,Company_0001065280,73094203,835083254.400528,8773875,institutional_holding,True
0001067983,2024-06-24,Company_0001403161,83496495,146456967.20682397,6156355,institutional_holding,True
0001364742,2024-08-07,Company_0001996810,90488794,820555397.2640638,3811084,institutional_holding,True
0001364742,2024-10-27,Company_0000820313,72025915,97631900.69869049,4598788,institutional_holding,True
0001364742,2024-10-27,Company_0000732717,62506509,70920944.64587462,379083,institutional_holding,True
0000315066,2024-10-18,Company_0000070858,51850945,411827383.6763526,7825271,institutional_holding,True
0000315066,2024-10-07,Company_0001067839,17714613,250050774.5184012,1182963,institutional_holding,True
0001067983,2024-03-10,Company_0001326801,98020086,96647133.6956376,9686258,institutional_holding,True
0001364742,2024-11-08,Company_0000067088,48232443,182695621.62265465,7286995,institutional_holding,True
0001364742,2024-10-28,Company_0002012383,95137183,193153409.05734992,5621298,institutional_holding,True
0001067983,2024-09-06,Company_0000077476,93291306,741648628.5061407,7441526,institutional_holding,True
0001067983,2024-07-23,Company_0000040545,92358573,556560231.433857,9354290,institutional_holding,True
0001364742,2024-10-22,Company_0000946770,95158540,723711742.599046,8705053,institutional_holding,True
0001364742,2024-06-24,Company_0001318605,37635171,492539010.0698686,4386545,institutional_holding,True
0000315066,2024-12-16,Company_0000018230,61447745,862988439.2199628,3820508,institutional_holding,True
0001364742,2024-06-07,Company_0001596532,61784122,633664289.5980542,9179596,institutional_holding,True
0001067983,2024-10-18,Company_0000753308,50665130,85506980.64871545,9217261,institutional_holding,True
0000315066,2024-04-08,Company_0000104169,11962421,298464050.9288141,5947655,institutional_holding,True
0001067983,2024-12-17,Company_0001341439,43262910,76939628.28815739,3319909,institutional_holding,True
0001067983,2024-07-28,Company_0001730168,98772960,622273388.7847317,7301607,institutional_holding,True
0001364742,2024-01-21,Company_0001075531,27607261,159951698.49748987,8085143,institutional_holding,True
0000315066,2024-06-25,Company_0000034088,90768246,737372525.8814756,3225352,institutional_holding,True
0000315066,2024-09-21,Company_0001996810,44438313,449461587.64262825,6413355,institutional_holding,True
0000315066,2024-07-14,Company_0001730168,31007159,190587069.15614146,9818968,institutional_holding,True
0000315066,2024-10-28,Company_0000067088,19626362,574259897.5792433,7886226,institutional_holding,True
0000315066,2024-08-10,Company_0001321655,45673063,309271078.80037326,1220517,institutional_holding,True
0001364742,2024-03-18,Company_0000067088,44194687,989763532.0632119,9936214,institutional_holding,True
0000315066,2024-12-23,Company_0000040545,72153799,61092377.322425425,4616280,institutional_holding,True
0001067983,2024-08-04,Company_0001413329,38106927,448226808.22235036,710835,institutional_holding,True
0001364742,2024-09-28,Company_0001067983,63120356,289820118.65272963,1416605,institutional_holding,True
0000315066,2024-07-24,Company_0002070829,50439608,989279924.001085,4199179,institutional_holding,True
0000315066,2024-12-24,Company_0001067983,40774454,676152191.6493087,2287665,institutional_holding,True
0000315066,2024-11-01,Company_0001744489,90922811,840731246.4722954,9779588,institutional_holding,True
0001067983,2024-06-26,Company_0001065280,28250697,921578375.0218226,1370737,institutional_holding,True
0001067983,2024-06-14,Company_0000937966,15747099,409224555.4662628,435317,institutional_holding,True
0000315066,2024-05-07,Company_0000064040,66255917,873631991.141342,4823996,institutional_holding,True
0001364742,2024-09-04,Company_0000050863,71469192,657745352.4163162,8192293,institutional_holding,True
0001364742,2024-07-19,Company_0000320193,79078761,562282879.8239243,7697493,institutional_holding,True
0000315066,2024-12-15,Company_0001393818,40500900,612280494.3946345,7313089,institutional_holding,True
0001067983,2024-04-06,Company_0002070829,77575016,251515366.444038,5198004,institutional_holding,True
0001067983,2024-06-02,Company_0000040545,17473509,829127683.6795655,6788050,institutional_holding,True
0000315066,2024-08-25,Company_0001114448,53673325,507711020.76153255,829619,institutional_holding,True
