owner_cik,owned_ticker,owned_company_name,ownership_value,shares_held,filing_date,relationship_type,network_layer,is_synthetic
0001067983,UNK_489,Company_0000067088,608445879.3956294,3806484,2024-02-25,equity_ownership,ownership,
0000315066,UNK_849,Company_0001551152,53153232.17092649,6154427,2024-08-27,equity_ownership,ownership,
0001364742,UNK_31,Company_0001114448,507443207.3034709,3308519,2024-12-21,equity_ownership,ownership,
0001067983,UNK_219,Company_0000019617,396330687.940758,8580876,2024-01-03,equity_ownership,ownership,
0000315066,UNK_122,Company_0001594805,939230796.5663025,8207645,2024-03-05,equity_ownership,ownership,
0000315066,UNK_34,Company_0001730168,982260396.0560868,950954,2024-01-25,equity_ownership,ownership,
0001067983,UNK_307,Company_0001065280,835083254.400528,8773875,2024-03-13,equity_ownership,ownership,
0001067983,UNK_927,Company_0001403161,146456967.20682397,6156355,2024-06-24,equity_ownership,ownership,
0001364742,UNK_556,Company_0001996810,820555397.2640638,3811084,2024-08-07,equity_ownership,ownership,
0001364742,UNK_899,Company_0000820313,97631900.69869049,4598788,2024-10-27,equity_ownership,ownership,
0001364742,UNK_974,Company_0000732717,70920944.64587462,379083,2024-10-27,equity_ownership,ownership,
0000315066,UNK_355,Company_0000070858,411827383.6763526,7825271,2024-10-18,equity_ownership,ownership,
0000315066,UNK_816,Company_0001067839,250050774.5184012,1182963,2024-10-07,equity_ownership,ownership,
0001067983,UNK_273,Company_0001326801,96647133.6956376,9686258,2024-03-10,equity_ownership,ownership,
0001364742,UNK_334,Company_0000067088,182695621.62265465,7286995,2024-11-08,equity_ownership,ownership,
0001364742,UNK_393,Company_0002012383,193153409.05734992,5621298,2024-10-28,equity_ownership,ownership,
0001067983,UNK_547,Company_0000077476,741648628.5061407,7441526,2024-09-06,equity_ownership,ownership,
0001067983,UNK_639,Company_0000040545,556560231.433857,9354290,2024-07-23,equity_ownership,ownership,
0001364742,UNK_470,Company_0000946770,723711742.599046,8705053,2024-10-22,equity_ownership,ownership,
0001364742,UNK_879,Company_0001318605,492539010.0698686,4386545,2024-06-24,equity_ownership,ownership,
0000315066,UNK_738,Company_0000018230,862988439.2199628,3820508,2024-12-16,equity_ownership,ownership,
0001364742,UNK_61,Company_0001596532,633664289.5980542,9179596,2024-06-07,equity_ownership,ownership,
0001067983,UNK_584,Company_0000753308,85506980.64871545,9217261,2024-10-18,equity_ownership,ownership,
0000315066,UNK_412,Company_0000104169,298464050.9288141,5947655,2024-04-08,equity_ownership,ownership,
0001067983,UNK_937,Company_0001341439,76939628.28815739,3319909,2024-12-17,equity_ownership,ownership,
0001067983,UNK_326,Company_0001730168,622273388.7847317,7301607,2024-07-28,equity_ownership,ownership,
0001364742,UNK_993,Company_0001075531,159951698.49748987,8085143,2024-01-21,equity_ownership,ownership,
0000315066,UNK_677,Company_0000034088,737372525.8814756,3225352,2024-06-25,equity_ownership,ownership,
0000315066,UNK_312,Company_0001996810,449461587.64262825,6413355,2024-09-21,equity_ownership,ownership,
0000315066,UNK_208,Company_0001730168,190587069.15614146,9818968,2024-07-14,equity_ownership,ownership,
0000315066,UNK_169,Company_0000067088,574259897.5792433,7886226,2024-10-28,equity_ownership,ownership,
0000315066,UNK_181,Company_0001321655,309271078.80037326,1220517,2024-08-10,equity_ownership,ownership,
0001364742,UNK_71,Company_0000067088,989763532.0632119,9936214,2024-03-18,equity_ownership,ownership,
0000315066,UNK_508,Company_0000040545,61092377.322425425,4616280,2024-12-23,equity_ownership,ownership,
0001067983,UNK_377,Company_0001413329,448226808.22235036,710835,2024-08-04,equity_ownership,ownership,
0001364742,UNK_192,Company_0001067983,289820118.65272963,1416605,2024-09-28,equity_ownership,ownership,
0000315066,UNK_722,Company_0002070829,989279924.001085,4199179,2024-07-24,equity_ownership,ownership,
0000315066,UNK_284,Company_0001067983,676152191.6493087,2287665,2024-12-24,equity_ownership,ownership,
0000315066,UNK_215,Company_0001744489,840731246.4722954,9779588,2024-11-01,equity_ownership,ownership,
0001067983,UNK_906,Company_0001065280,921578375.0218226,1370737,2024-06-26,equity_ownership,ownership,
0001067983,UNK_310,Company_0000937966,409224555.4662628,435317,2024-06-14,equity_ownership,ownership,
0000315066,UNK_746,Company_0000064040,873631991.141342,4823996,2024-05-07,equity_ownership,ownership,
0001364742,UNK_908,Company_0000050863,657745352.4163162,8192293,2024-09-04,equity_ownership,ownership,
0001364742,UNK_803,Company_0000320193,562282879.8239243,7697493,2024-07-19,equity_ownership,ownership,
0000315066,UNK_509,Company_0001393818,612280494.3946345,7313089,2024-12-15,equity_ownership,ownership,
0001067983,UNK_64,Company_0002070829,251515366.444038,5198004,2024-04-06,equity_ownership,ownership,
0001067983,UNK_678,Company_0000040545,829127683.6795655,6788050,2024-06-02,equity_ownership,ownership,
0000315066,UNK_850,Company_0001114448,507711020.76153255,829619,2024-08-25,equity_ownership,ownership,
0001067983,UNK_671,Company_0000707549,847291602.1638328,2274907,2024-01-22,equity_ownership,ownership,
0000315066,UNK_741,Company_0001326801,190596625.31748518,1381670,2024-02-07,equity_ownership,ownership,
0000315066,UNK_985,Company_0000811809,759586364.5301584,4119340,2024-09-17,equity_ownership,ownership,
0000315066,UNK_251,Company_0000732717,547901925.31682,1482989,2024-01-15,equity_ownership,ownership,
0001364742,UNK_846,Company_0000796343,447330191.1147743,5831291,2024-05-24,equity_ownership,ownership,
0000315066,UNK_240,Company_0000064040,552143849.3126956,1111714,2024-03-26,equity_ownership,ownership,
0001067983,UNK_75,Company_0001467373,3311617.7233870807,6771610,2024-08-09,equity_ownership,ownership,
0001067983,UNK_974,Company_0000831001,241947602.44524413,4943310,2024-12-13,equity_ownership,ownership,
0001067983,UNK_146,Company_0000895421,128836807.1715862,5166645,2024-07-04,equity_ownership,ownership,
0001067983,UNK_342,Company_0001413329,588214077.479375,2535315,2024-03-12,equity_ownership,ownership,
0001364742,UNK_425,Company_0000310158,57764725.999851696,8027186,2024-07-20,equity_ownership,ownership,
